State,College,SATM,SATV,AppsReceive,AppsAccept,HStop10,HStop25,FullTime,Tuition,RoomBoard,Books,Ratio,Donate,Expend,GradRate,Type,AvgSalary,NumFaculty
AK,Alaska Pacific University,490,482,193,146,16,44,249,7560,4120,800,11.9,2,10922,15,private,382,32
AL,Birmingham-Southern College,575,525,805,588,67,88,1376,11660,4325,400,14,34,8649,72,private,401,89
AL,Huntingdon College,513,446,608,520,26,47,538,8080,3920,500,11.4,9,7703,44,private,301,44
AR,Hendrix College,564,525,823,721,52,87,954,8800,3195,500,13.1,26,8588,63,private,421,65
AR,John Brown University,509,484,605,405,24,53,961,6398,3672,400,13.3,19,8118,75,private,341,58
AR,Harding University,530,490,1721,1068,35,75,3128,5504,3528,700,17.7,37,6466,73,private,380,179
AZ,Arizona State University Main ca,521,453,12809,10308,24,49,22593,1828,4850,700,18.9,5,4602,48,public,489,1383
AZ,Northern Arizona University,495,444,5891,4931,23,48,11249,1828,3728,620,21.7,7,6157,41,public,412,608
CA,California Institute of Technolo,750,660,1916,507,98,100,912,16695,5051,735,6.5,36,62469,83,private,866,257
CA,California Lutheran University,495,436,563,247,23,52,1427,12950,5300,612,12.4,17,8985,60,private,398,92
CA,California Polytechnic-San Luis,547,455,7811,3817,47,73,12911,2033,4877,612,19.8,13,8453,59,public,571,670
CA,Chapman University,501,456,959,771,23,48,1662,16624,5895,600,12.8,6,12692,47,private,491,111
CA,Claremont McKenna College,670,600,1860,767,71,93,887,17000,6010,500,9.6,52,18443,87,private,601,67
CA,Harvey Mudd College,740,630,1377,572,95,100,654,17230,6690,700,8.2,46,21569,100,private,638,68
CA,Pitzer College,590,560,1133,630,37,73,750,17688,5900,650,10.4,11,14820,73,private,547,54
CA,Pomona College,700,640,3037,1130,80,98,1500,17720,7220,800,8.9,47,20682,91,private,566,161
CA,Scripps College,590,560,855,632,60,83,569,17238,7350,600,8.2,41,18372,73,private,511,54
CA,Occidental College,570,510,2324,1319,52,81,1686,16560,5140,558,10.5,30,16196,79,private,490,139
CA,Fresno Pacific College,532,476,346,274,51,87,704,9900,3670,630,10.5,14,8095,54,private,361,54
CA,Point Loma Nazarene College,472,425,809,687,20,43,1889,10176,4190,800,16.1,19,7895,54,private,429,94
CA,Pepperdine University,585,514,3821,2037,86,96,2488,18200,6770,500,11.6,13,16185,66,private,637,231
CA,St. Mary's College of California,549,483,2643,1611,36,80,2615,13332,6354,630,16.1,17,9619,78,private,500,135
CA,University of San Francisco,514,463,2306,1721,23,48,4309,13226,6452,750,13.6,8,10074,62,private,514,287
CA,University of Southern Californi,592,498,12229,8498,45,71,13259,17230,6482,600,11.4,10,17007,68,private,641,1165
CA,University of the Pacific,531,444,2459,1997,36,66,2664,16320,5326,646,11.2,14,13706,65,private,459,377
CA,Westmont College,550,501,950,713,42,72,1276,14320,5304,490,14.9,17,8837,87,public,415,74
CA,Whittier College,507,454,1681,1069,35,63,1235,16249,5699,500,13.6,29,11778,52,private,531,108
CA,University of San Diego,548,490,3934,2735,40,70,3698,13600,5940,630,15.6,13,10813,66,private,575,265
CA,Loyola Marymount University,549,485,3768,2662,42,64,3558,13592,5916,545,14.2,10,11677,84,private,589,310
CO,University of Northern Colorado,480,440,5530,4007,12,37,8463,1829,4128,540,21.5,8,6309,40,public,385,467
CO,Colorado State University,545,479,9478,6312,29,65,15646,2124,4180,470,19.2,10,7850,59,public,517,926
CO,Mesa State College,451,400,1584,1456,6,18,3471,1434,3798,540,28.8,12,3871,59,public,340,145
CO,University of Southern Colorado,480,428,1401,1239,10,34,3716,1644,4380,540,19.4,0,5389,36,public,397,170
CO,University of Denver,540,470,2974,2001,29,60,2666,15192,4695,400,15.9,21,11762,67,private,509,378
CO,Western State College of Colorad,470,420,2702,1623,7,24,2315,1819,3755,500,19.4,4,4599,52,public,402,103
CT,Albertus Magnus College,460,430,353,340,17,45,416,13290,5720,500,11.5,26,8861,63,private,340,24
CT,Central Connecticut State Univer,457,414,4158,2532,6,24,6394,1842,4444,500,16.7,4,4900,49,public,518,390
CT,Fairfield University,560,498,4784,3346,30,66,2984,15000,6200,700,15.1,30,11220,94,private,545,192
CT,Sacred Heart University,480,420,2307,1896,19,51,1707,11070,5780,400,14.8,16,7120,82,private,435,111
CT,University of Hartford,506,457,5081,4040,11,26,3768,14220,6000,500,10.7,9,10625,66,private,439,329
CT,Wesleyan University,660,620,4772,1973,60,86,2714,19130,5600,1400,12.1,39,16262,92,private,597,254
CT,Eastern Connecticut State Univer,444,411,2172,1493,14,50,2766,1842,4316,650,16.9,14,5719,50,public,535,127
DC,Trinity College,470,480,247,189,19,49,309,11412,6430,500,8.3,37,11806,96,private,350,47
DE,Wesley College,413,387,980,807,10,25,872,9890,4674,500,14.4,15,6243,84,private,376,49
FL,Barry University,470,430,990,784,18,45,1811,11290,5360,600,12.6,11,9084,72,private,394,215
FL,Embry Riddle Aeronautical Univer,544,461,3151,2584,14,40,4772,7800,3750,570,16.5,4,12878,44,private,365,299
FL,Eckerd College,559,517,1422,1109,33,65,1363,15360,4080,600,12.8,26,15003,59,private,436,87
FL,Florida Southern College,505,478,1381,1040,20,44,1506,8025,4865,400,17.4,10,6339,68,private,369,96
FL,Rollins College,557,502,1777,1151,31,55,1668,16425,5220,955,13.3,23,11561,90,private,457,154
FL,University of Central Florida,533,464,6986,2959,25,60,12330,1716,4234,700,22.2,9,6742,46,public,435,593
FL,Florida International University,543,476,3306,2079,42,89,10208,1695,2494,800,13.9,20,6722,66,public,433,767
GA,Emory University,650,570,8506,4168,76,97,5544,17600,6000,600,5,28,28457,96,private,608,549
GA,Oglethorpe University,570,549,792,649,56,87,769,12900,4340,600,13.1,27,8568,67,private,450,44
GA,University of Georgia,571,515,11220,7871,43,79,19553,1899,3600,525,14.7,22,7881,63,public,489,1658
HI,University of Hawaii at Manoa,537,441,3580,2603,36,69,11028,1460,3038,687,11.8,6,12833,54,public,570,1099
IA,Briar Cliff College,410,385,392,351,16,44,738,10260,3597,600,13.1,26,8355,58,private,313,60
IA,Coe College,560,500,1006,742,29,60,1127,13925,4390,500,12.7,32,10141,67,private,436,73
IA,Cornell College,560,510,1538,1329,33,68,1140,15248,4323,550,12.2,31,10340,64,private,468,75
IA,Graceland College,502,447,555,414,14,41,996,9100,3100,550,23.6,24,5609,47,private,345,70
IA,Grinnell College,642,602,2039,1389,56,91,1333,15688,4618,400,9.5,54,18979,83,private,513,139
IA,University of Dubuque,480,430,576,558,11,39,662,10430,3620,400,16.5,18,8767,45,private,323,58
IA,Wartburg College,557,478,1231,1074,34,66,1295,11600,3610,400,12.4,37,7735,67,private,358,89
ID,Albertson College,524,487,587,479,38,62,678,13500,3335,500,9.4,11,9727,55,private,336,56
IL,Bradley University,590,530,3767,3414,30,58,4531,10870,4440,2000,14.4,21,7671,85,private,442,295
IL,Illinois Institute of Technology,603,499,1756,1360,42,77,1911,14550,4620,500,12.3,26,12851,56,private,512,287
IL,Illinois Wesleyan University,617,534,3050,1342,55,86,1818,14360,4090,400,12.9,34,9605,83,private,445,129
IL,Knox College,570,530,1040,845,48,77,967,15747,4062,400,12.7,33,13224,79,private,432,77
IL,Loyola University Chicago,529,482,3579,2959,25,55,5244,11500,5330,700,6.2,15,13009,65,private,570,563
IL,Millikin University,541,511,1444,1261,29,62,1788,11910,4378,450,11.4,25,8149,75,private,386,124
IL,Monmouth College,470,470,601,503,28,57,671,13000,4100,400,11.6,43,11087,56,private,381,44
IL,North Central College,556,483,1127,884,30,64,1310,11718,7398,450,16.4,33,8871,76,private,398,97
IL,Quincy University,528,496,1025,707,22,66,1070,10100,4140,450,16.3,32,6880,80,private,345,55
IL,University of Illinois - Urbana,617,522,14939,11652,52,88,25422,2760,4574,500,17.4,13,8559,81,public,570,1868
IN,Anderson University,462,423,1216,908,19,40,1819,10100,3520,550,12.1,14,7994,59,private,347,138
IN,Butler University,544,484,2362,2037,40,68,2607,13130,4650,500,10.9,29,9511,83,private,439,220
IN,Earlham College,570,550,1358,1006,35,63,1028,15036,4056,600,10.6,46,14634,78,private,445,79
IN,University of Evansville,538,498,2096,1626,35,67,2551,11800,4340,700,15.8,26,7780,77,private,414,170
IN,Franklin College,532,481,804,632,29,72,840,10390,4040,525,12.5,37,11751,60,private,381,60
IN,Hanover College,541,486,1006,837,33,65,1024,8200,3485,500,10.6,26,9248,64,private,432,92
IN,Huntington College,480,422,450,430,20,46,488,9950,3920,300,11.8,25,9466,47,private,358,38
IN,University of Indianapolis,487,432,1487,1276,26,51,1417,11120,4080,525,11.1,23,6735,69,private,382,125
IN,University of Southern Indiana,429,384,2379,2133,8,25,4283,2040,3192,500,22,21,4078,38,public,384,181
IN,Indiana University at Bloomingto,530,466,16587,13243,25,72,24763,2984,3990,600,21.3,24,8686,68,public,540,1361
IN,Manchester College,508,442,1004,802,23,63,909,10440,3850,525,11.8,20,7940,64,private,340,74
IN,Rose-Hulman Institute of Technol,670,540,3320,1840,73,93,1320,13380,4206,600,13.6,42,13550,97,private,549,101
IN,Saint Francis College,450,410,213,166,13,36,513,8670,3820,450,12.5,4,7440,48,private,316,37
IN,Saint Joseph's College,494,423,920,684,24,42,815,11200,4250,600,14.8,19,7360,67,private,344,45
IN,Saint Mary-of-the-Woods College,422,392,150,130,23,50,341,10300,4130,500,10.2,37,9678,75,private,232,44
IN,Saint Mary's College,538,488,888,734,26,60,1433,12730,4514,500,9.9,31,11165,98,private,388,117
IN,Taylor University,579,513,1769,1092,41,80,1757,10965,4000,450,14.2,32,8294,98,private,355,95
IN,Tri-State University,502,409,1262,1102,14,40,978,9456,4350,468,12.8,24,7603,65,private,340,64
IN,University of Notre Dame,650,570,7700,3700,79,96,7671,16850,4400,600,13.1,46,13936,97,private,637,644
KY,Bellarmine College,515,474,807,707,39,63,1198,8840,2950,750,13.1,31,6668,84,private,394,84
KY,Centre College,575,534,1013,888,55,82,943,11850,4270,600,11.4,60,13118,74,private,431,73
KY,Cumberland College,470,420,995,789,26,47,1306,6230,3526,400,13,4,8189,63,private,286,97
KY,Kentucky Wesleyan College,450,410,584,497,20,49,662,8000,4150,500,11.3,32,7058,62,private,327,51
KY,Transylvania University,564,532,759,729,57,81,867,10900,4450,500,12.1,41,10219,70,private,384,63
LA,Centenary College of Louisiana,550,500,495,434,35,55,775,8950,3490,600,11.3,25,9685,66,private,412,66
LA,Louisiana State University at Ba,529,468,5996,4993,29,57,16269,2625,2980,600,15.9,11,6741,37,public,464,1439
LA,Loyola University,540,510,1891,1698,24,80,2740,11100,5870,600,11.7,14,9456,53,private,476,241
LA,Xavier University of Louisiana,469,438,2097,1915,34,61,2793,6900,4200,617,14.4,20,8323,49,private,352,203
MA,Amherst College,685,639,4302,992,83,96,1593,19760,5300,660,8.4,63,21424,100,private,610,153
MA,Merrimack College,520,480,1981,1541,18,36,1927,12500,6200,375,16.8,22,8707,80,private,395,125
MA,Elms College,450,440,245,208,23,46,544,11800,4765,450,11.3,21,8952,86,private,342,52
MA,College of the Holy Cross,627,573,2994,1691,70,95,2675,18000,6300,400,11.3,55,12138,95,private,519,186
MA,Gordon College,509,483,674,565,25,54,1151,12200,4070,400,14.2,32,9226,66,private,381,71
MA,Massachusetts Institute of Techn,742,639,6411,2140,96,99,4481,20100,5975,725,10.1,35,33541,94,private,757,989
MA,North Adams State College,470,427,1563,1005,1,19,1380,1408,4330,500,14.2,17,6562,57,public,428,91
MA,Westfield State College,460,420,3100,2150,3,20,3234,1408,3788,500,15.7,20,4222,65,public,457,169
MA,Worcester State College,436,400,2197,1515,4,26,3089,2663,3900,500,21,14,4469,40,public,463,168
MA,Mount Holyoke College,571,549,1800,1314,47,79,1891,19300,5700,750,9,51,18359,84,private,541,191
MA,Northeastern University,531,467,11901,8492,16,42,11160,13380,7425,600,12.9,17,9563,46,private,543,730
MA,Regis College,452,429,427,385,18,38,581,12700,5800,450,10.3,37,11758,84,private,407,46
MA,Simmons College,480,460,1003,782,23,53,1144,16160,6950,500,8.9,33,14086,79,private,477,167
MA,University of Massachusetts at D,482,423,3347,2597,10,37,4664,1836,4500,500,15,20,7462,56,public,526,321
MA,Stonehill College,530,480,3646,2300,25,69,2022,12170,6172,480,13,30,7495,97,private,423,116
MA,Wellesley College,630,600,2895,1249,80,96,2195,18345,5995,500,10.6,51,21409,91,private,603,222
MA,Western New England College,447,390,1650,1471,7,21,1803,8994,5500,498,15.4,15,8409,59,private,543,131
MA,Wheaton College,550,530,1738,1373,21,55,1335,18460,5970,700,13.2,41,22704,71,private,486,91
MA,Worcester Polytechnic Institute,660,540,2768,2314,49,86,2802,15884,5370,530,15.2,34,10774,82,private,546,212
MD,Capitol College,460,420,100,90,10,52,282,8400,2812,300,12.1,24,7976,52,private,352,17
MD,College of Notre Dame of Marylan,500,470,457,356,35,61,667,11180,5620,600,11.5,32,7477,75,private,362,76
MD,Goucher College,572,539,1151,813,40,64,850,15588,6174,500,9.2,34,16623,77,private,411,75
MD,Hood College,509,485,699,565,36,64,710,13960,6040,450,14.4,34,12434,72,private,402,76
MD,Loyola College,563,507,4076,3137,25,54,3010,12990,6300,600,14.7,27,9448,80,private,482,222
MD,Salisbury State University,554,491,4216,2290,20,52,4296,2328,4690,600,17.9,18,5125,56,public,404,240
MD,St. Mary's College of Maryland,615,579,1340,695,42,73,1315,4000,4730,675,11.6,23,10357,63,public,426,97
MD,University of Maryland at Colleg,584,501,14292,10315,22,53,19340,2919,5146,550,18.1,12,9021,63,public,539,1285
ME,University of Maine at Presque I,433,388,461,381,10,40,974,2700,3630,400,15.2,11,6408,35,public,343,67
ME,Bowdoin College,640,580,3356,1019,76,100,1490,19030,5885,1495,11.2,52,20447,96,private,554,123
ME,Colby College,610,560,2848,1319,58,84,1720,18930,5590,500,10.2,41,15954,91,private,524,140
ME,Husson College,435,383,723,652,10,30,951,7800,4000,350,22,4,4923,84,private,334,49
ME,University of New England,470,430,1209,750,19,54,820,11450,5045,900,11.4,13,9718,64,private,354,76
ME,Saint Joseph's College,460,420,833,682,12,33,716,9985,5180,500,27.2,8,4322,85,private,295,45
MI,Kalamazoo College,626,575,1224,1101,55,84,1218,16179,5094,510,12.4,36,13207,74,private,452,92
MI,Michigan State University,524,461,18114,15096,23,57,26640,4103,3734,504,14,9,10520,71,public,555,1840
MI,Michigan Technological Universit,620,512,2618,2288,42,77,5524,3510,3978,900,17,25,7473,65,public,511,338
MI,Center for Creative Studies,470,450,601,396,1,20,525,11230,6643,2340,6.8,4,13025,47,private,360,48
MI,University of Michigan at Ann Ar,634,543,19152,12940,66,92,22045,5040,4659,476,11.5,26,14847,87,public,605,1968
MN,Augsburg College,580,460,662,513,12,30,2074,11902,4372,540,12.8,31,7836,58,private,357,123
MN,College of Saint Benedict,526,484,938,864,29,62,1715,12247,4221,500,13.1,26,8847,72,private,381,125
MN,College of Saint Catherine,469,482,511,411,23,51,1692,12224,4440,450,11.5,32,7315,77,private,356,143
MN,College of St. Scholastica,487,443,672,596,29,60,1350,11844,3696,450,11.6,33,8996,72,private,345,119
MN,University of St. Thomas,530,464,2057,1807,26,53,4106,11712,4037,500,13.8,13,8546,89,private,402,310
MN,Gustavus Adolphus College,585,520,1709,1385,36,72,2281,14125,3600,400,12.5,58,9907,80,private,408,162
MN,Hamline University,575,535,1006,825,34,73,1362,13252,4194,450,13,33,10296,65,private,461,128
MN,Saint John's University,555,465,933,800,18,45,1691,12247,4081,500,12,38,9853,70,private,418,126
MN,University of Minnesota at Morri,650,550,1458,874,56,86,1846,3330,3180,600,14.6,16,6716,51,public,389,112
MN,Winona State University,490,460,3325,2047,20,45,5800,2200,2700,300,20.2,18,5318,58,public,430,293
MN,University of Minnesota Twin Cit,568,484,11054,6397,26,55,16502,3171,3744,714,12.2,37,16122,45,public,557,1538
MO,Lindenwood College,435,435,810,484,6,33,2155,9200,4800,1000,24.1,9,3480,100,private,340,97
MO,Missouri Valley College,400,400,1310,983,5,35,1057,8550,5050,400,17.4,16,4333,27,private,302,47
MO,University of Missouri at Columb,564,502,6574,4637,32,62,14782,3030,3485,600,12.7,15,10145,58,public,485,899
MO,University of Missouri at Rolla,655,547,1877,1826,49,77,3926,3030,3600,700,14.4,23,9699,49,public,564,253
MO,Webster University,494,511,665,462,17,44,1739,9160,4340,500,20.6,14,6951,48,private,395,115
MO,Westminster College,520,480,662,553,20,43,665,10720,4050,600,12.5,20,7925,62,private,381,50
MO,William Jewell College,550,510,663,547,32,67,1279,10060,2970,500,11.2,19,7885,59,private,364,88
MO,William Woods University,482,459,469,435,17,39,851,10535,4365,550,12.9,16,7438,52,private,312,45
MS,Millsaps College,570,550,905,834,32,61,1073,11320,4402,550,12.7,38,11218,58,private,387,85
MT,Montana State University,520,440,3500,2836,15,42,8730,1576,3710,550,17.6,8,6324,37,public,407,468
NC,North Carolina A. & T. State Uni,441,384,4809,3089,12,33,6162,740,1780,600,16.7,9,7090,44,public,432,361
NC,Appalachian State University,519,471,7313,4664,20,63,9940,740,2540,96,18.3,14,5854,70,public,424,545
NC,University of North Carolina at,550,504,1757,979,32,74,2033,608,3420,600,13,11,7011,37,public,417,147
NC,Barber Scotia College,320,280,933,933,6,16,704,4045,2795,736,13.5,8,4431,34,private,297,52
NC,Belmont Abbey College,463,427,632,494,17,36,709,9000,4850,300,13.2,10,7550,52,private,309,46
NC,Davidson College,650,580,2373,956,77,96,1601,17295,5070,600,12,46,17581,94,private,506,130
NC,Duke University,687,615,13789,3893,90,98,6188,18590,5950,625,5,44,27206,97,private,699,620
NC,East Carolina University,486,435,9274,6362,14,44,13171,764,3240,500,13.2,18,9002,58,public,415,792
NC,Elon College,483,439,3624,2786,11,39,2933,9100,3883,490,18.9,34,6329,63,private,372,138
NC,Fayetteville State University,426,390,1455,1064,1,16,2632,740,2550,350,15.1,10,6972,24,public,407,193
NC,Gardner Webb University,445,400,1110,930,18,36,1603,8180,4270,500,15.2,12,5664,29,private,312,87
NC,Greensboro College,485,438,608,494,10,31,649,8330,3770,550,13,31,7949,39,private,333,44
NC,Guilford College,530,500,1202,1054,18,44,1410,13404,5160,450,15.6,30,9114,65,private,410,90
NC,Lenoir-Rhyne College,482,439,979,743,25,46,1188,10100,4000,400,12,20,8539,66,private,345,91
NC,North Carolina Wesleyan College,432,394,812,689,7,24,646,8242,4230,600,12.7,11,10090,52,private,320,45
NC,Pembroke State University,433,385,944,774,14,34,2174,628,2760,550,15,5,6443,48,public,413,143
NC,Queens College,514,491,516,392,32,62,630,11020,4970,610,14,36,9315,58,private,350,63
NC,Salem College,508,494,335,284,28,69,534,10475,6300,500,11.2,46,9599,60,private,324,44
NC,North Carolina State University,578,493,10634,7064,39,78,16505,874,6540,600,17.5,21,9670,62,public,505,1235
NC,University of North Carolina at,594,527,14596,5985,75,92,14609,874,4200,550,8.9,23,15893,83,public,565,1268
NC,University of North Carolina at,491,435,5803,4441,19,62,10099,764,3109,600,16.8,7,6227,62,public,441,643
NC,University of North Carolina at,499,457,5191,4134,15,44,7532,931,3505,600,15.5,17,7392,53,public,435,572
NC,Western Carolina University,457,410,3224,2519,11,31,5000,718,2380,110,14.6,9,6554,55,public,414,319
NC,University of North Carolina at,494,441,6071,3856,15,67,6635,1492,3680,500,19.1,15,6005,55,public,421,346
NC,Wingate College,442,400,1239,1017,10,34,1207,7820,3400,550,13.9,8,7264,91,private,320,79
ND,University of North Dakota,535,465,2777,2249,20,54,8334,2110,2703,450,15.9,16,9424,49,public,379,472
NE,University of Nebraska at Lincol,513,447,6277,6003,33,63,16454,2055,3145,500,15.1,48,6813,53,public,523,1127
NH,Dartmouth College,692,627,8587,2273,87,99,3918,19545,6070,550,4.7,49,29619,98,private,610,371
NH,Franklin Pierce College,424,403,5187,4471,3,14,1818,13320,4630,500,17.6,16,6418,51,private,399,76
NH,Notre Dame College,439,430,379,324,15,37,500,9990,4900,400,12.1,26,4948,33,private,286,34
NH,Saint Anselm College,512,481,2095,1553,15,40,1873,12950,5400,450,14.5,29,6719,97,private,381,109
NH,University of New Hampshire,536,476,9750,7640,24,62,10358,3550,3862,650,17.5,16,7855,75,public,482,576
NH,Keene State College,463,424,3121,2446,5,19,3480,2590,4157,500,16.1,13,6195,61,public,426,149
NJ,Centenary College,500,470,369,312,12,46,396,11400,5400,500,9.5,20,9583,24,private,266,36
NJ,College of Saint Elizabeth,486,464,444,359,34,53,493,10900,5250,380,11.4,23,9447,78,private,365,47
NJ,Drew University,603,564,2153,1580,56,84,1192,18432,5616,520,10.2,28,14907,83,private,529,108
NJ,Georgian Court College,474,441,348,281,12,52,1095,9150,3950,500,12.2,27,7348,76,private,403,71
NJ,Jersey City State College,440,400,2957,1423,10,30,3817,2798,4800,400,14.9,10,8367,26,public,520,237
