State,College,SATM,SATV,AppsReceive,AppsAccept,HStop10,HStop25,FullTime,Tuition,RoomBoard,Books,Ratio,Donate,Expend,GradRate,Type,AvgSalary,NumFaculty
NJ,Monmouth College,494,440,2707,1881,14,34,1893,12480,5290,530,14.2,15,9492,54,private,519,126
NJ,Montclair State University,487,431,5220,2128,19,53,6411,2400,4834,700,21.5,9,6717,58,public,532,419
NJ,New Jersey Institute of Technolo,600,466,1879,1216,27,62,3311,4188,5376,700,13.5,19,12529,72,public,615,303
NJ,Princeton University,708,647,13218,2042,90,98,4540,19900,5910,675,8.4,54,28320,99,private,749,702
NJ,Rider University,501,439,3586,2424,16,31,2748,13250,5420,700,12.3,23,11299,70,private,564,208
NJ,Rutgers State University at Newa,529,459,5785,2690,26,62,4005,3640,4748,690,17.4,16,11878,58,public,693,374
NJ,Seton Hall University,496,443,4576,3565,16,36,4384,12000,6484,650,14.4,15,10080,64,private,553,332
NJ,Saint Peter's College,428,379,1606,1413,23,38,1921,9408,5520,500,12.1,22,7669,53,private,404,117
NJ,Stevens Institute of Technology,652,521,1768,1249,51,93,1263,16900,5680,450,19,33,12837,79,private,544,137
NJ,Trenton State College,592,519,5042,2312,55,94,5167,3116,5411,700,14.4,6,8504,81,public,525,313
NJ,Rutgers State University at Camd,545,489,3366,1752,27,79,2585,3641,4748,690,18.6,12,10134,57,public,648,206
NJ,Rutgers at New Brunswick,594,513,48094,26330,36,79,21401,3640,4748,690,19.5,19,10474,77,public,665,1374
NJ,Stockton College of New Jersey,552,489,4019,1579,23,65,4365,2288,4351,711,19.5,7,5599,64,public,492,178
NY,Dowling College,440,400,1011,829,9,33,1059,9000,3100,450,12.4,7,11178,42,private,563,93
NY,Cazenovia College,392,375,3847,3433,9,35,1010,9384,4840,600,14.3,20,7697,118,private,337,45
NY,Clarkson University,612,518,2174,1953,35,68,2332,15960,5580,700,15.8,32,11659,77,private,563,161
NY,Colgate University,623,563,4856,2492,46,75,2649,19510,5565,500,10.5,45,15494,93,private,539,198
NY,College of Mount St. Vincent,474,454,946,648,23,46,707,11790,5770,500,11.9,35,10015,83,private,366,56
NY,Columbia University,680,620,6756,1930,78,96,3376,18624,6664,550,5.9,21,30639,99,private,687,923
NY,Barnard College,620,600,2496,1402,53,95,2121,17926,8124,600,10.3,33,12580,91,private,508,154
NY,D'Youville College,497,435,866,619,18,47,1074,8920,4310,680,14.6,42,6898,46,private,359,76
NY,Elmira College,496,463,1457,1045,27,50,1109,14990,4980,450,21.5,21,7502,64,private,359,63
NY,Fordham University,535,506,4200,2874,30,55,4740,14235,6965,600,14.4,14,10864,80,private,590,498
NY,Hartwick College,524,478,2083,1725,22,49,1464,17480,4780,500,12.3,32,11625,73,private,419,123
NY,Hofstra University,540,470,7428,5860,25,63,6534,11600,5920,1000,13.9,10,10093,60,private,584,406
NY,Houghton College,535,508,949,786,30,70,1210,9990,3550,500,15,24,8187,67,private,327,77
NY,Iona College,457,410,4892,3530,13,33,3906,10690,6790,570,16,14,8107,66,private,461,192
NY,Keuka College,495,451,461,381,10,43,738,9600,4550,600,13.3,43,7863,51,private,338,42
NY,Manhattan College,539,467,2432,1730,20,63,2578,12370,6800,500,13.6,25,10062,79,private,488,172
NY,Marist College,515,475,4731,3171,12,31,3557,10700,5925,550,17.6,34,8408,69,private,417,151
NY,Marymount College Tarrytown,456,460,478,327,9,34,731,11510,6450,575,10.3,30,10502,77,private,357,56
NY,Marymount Manhattan College,500,460,695,535,21,30,988,10200,7000,350,11.7,20,10622,68,private,382,49
NY,Mount Saint Mary College,450,450,1170,695,14,48,1170,7470,4600,250,15.3,23,6898,88,private,395,51
NY,Nazareth College of Rochester,540,494,947,798,36,68,1274,10850,5150,550,13.6,24,8797,61,private,430,105
NY,New York University,604,542,13594,7244,70,86,12408,17748,7262,450,7.8,16,21227,71,private,683,1231
NY,Pace University,517,441,8256,3750,37,70,5809,11100,5160,660,13.8,10,10059,62,private,576,397
NY,Sarah Lawrence College,560,590,1380,768,57,82,1000,19300,6694,600,6.1,18,14779,83,private,541,69
NY,Skidmore College,570,520,4293,2728,25,62,2322,18710,5970,500,12.7,29,14837,81,private,498,164
NY,Siena College,560,491,2961,1932,24,68,2669,10800,5100,575,14.1,42,8189,100,private,434,155
NY,St. Bonaventure University,535,478,1489,1313,13,45,1688,10456,4927,500,17.7,32,9828,78,private,425,154
NY,St. John Fisher College,525,465,1368,1064,19,51,1687,10570,5600,400,14.5,29,7908,66,private,432,106
NY,St. Lawrence University,573,510,2753,1820,31,56,1801,18720,5730,650,11.5,38,14980,85,private,488,153
NY,St. Thomas Aquinas College,425,400,861,609,10,27,1117,8650,5700,500,16.1,13,6534,67,private,419,63
NY,SUNY at Albany,580,506,13528,9198,16,61,10168,2650,4355,700,17.4,16,9075,74,public,576,638
NY,SUNY at Binghamton,615,533,14463,6166,60,94,8544,2650,4598,700,18,15,8055,80,public,555,460
NY,SUNY at Stony Brook,542,464,12512,6969,27,66,9744,2650,4712,600,10.5,7,13705,57,public,589,801
NY,SUNY College  at Brockport,506,446,7294,3564,7,34,5758,2650,4460,500,19,14,6632,49,public,492,296
NY,SUNY College at Buffalo,455,409,5318,3515,8,29,7626,2650,4040,550,18.7,12,7511,42,public,444,424
NY,SUNY College at Cortland,524,460,7888,3519,6,40,5011,2650,4680,630,17.8,17,5563,53,public,432,234
NY,SUNY College at Fredonia,525,472,4877,2798,13,48,4123,2650,4420,620,16.3,10,6442,66,public,450,235
NY,SUNY College at Geneseo,608,541,8598,4562,56,93,5060,2650,4170,600,19.1,25,5716,76,public,405,243
NY,SUNY College at New Paltz,537,479,8399,3609,19,53,4658,2650,4240,550,15.3,8,6608,53,public,462,283
NY,SUNY College  at Oswego,550,480,8000,4556,17,70,6943,2650,4810,500,22,21,5280,63,public,441,302
NY,SUNY College at Plattsburgh,520,460,5549,3583,9,40,5004,2650,4176,600,17.9,16,6174,65,public,445,266
NY,SUNY College at Potsdam,540,500,3150,2289,16,51,3598,2650,4660,500,15.1,17,6436,59,public,424,219
NY,Vassar College,625,603,3550,1877,53,87,2164,18920,5950,600,9.7,39,17089,90,private,523,212
NY,SUNY College at Purchase,486,466,2119,1264,5,33,2478,2650,4760,1125,14.9,8,8170,46,public,437,114
NY,SUNY at Buffalo,572,480,15039,9649,36,100,13963,2650,4731,708,13.6,15,11177,56,public,601,982
OH,Baldwin-Wallace College,529,468,1690,1366,30,61,2718,10995,4410,1000,17.6,20,8086,85,private,464,148
OH,Bowling Green State University,497,449,9251,7333,14,45,13699,3070,3352,600,21.1,14,6918,67,public,483,690
OH,Cedarville College,524,486,1307,1090,25,55,2196,7344,4410,570,15.3,34,6897,64,private,346,132
OH,College of Mount St. Joseph,480,440,798,620,14,41,1165,9800,4430,400,11.1,35,6889,100,private,360,100
OH,Franciscan University of Steuben,516,488,553,452,22,49,1301,9650,4400,600,14.9,8,6336,83,private,349,83
OH,Hiram College,540,510,922,729,37,66,1000,14067,4560,400,10.6,34,12165,79,private,373,81
OH,Kenyon College,593,570,2212,1538,44,75,1445,19240,3690,750,11.1,46,14067,88,private,480,131
OH,Malone College,479,433,874,758,21,46,1605,9858,3700,450,17.6,16,4796,55,private,343,70
OH,Muskingum College,490,436,1109,922,24,46,1115,13240,3914,600,13.4,27,9333,73,private,353,69
OH,Oberlin College,623,596,4778,2767,50,89,2587,19670,5820,575,10.1,47,16593,83,private,507,239
OH,Ohio University,520,473,11023,8298,21,54,14861,3552,4095,550,20.4,13,8811,64,public,512,687
OH,Tiffin University,372,308,845,734,5,21,662,7600,3800,600,19,40,5096,39,private,379,27
OH,University of Cincinnati,533,464,6855,5553,26,57,11036,3234,4697,556,10.8,6,13889,54,public,535,1113
OH,University of Dayton,578,504,6361,5293,26,51,5889,11380,4220,500,14.8,25,8894,93,private,482,419
OH,Ursuline College,434,404,325,260,21,47,699,9600,4202,450,10.5,15,7164,68,private,306,62
OH,Wittenberg University,577,524,1979,1739,42,68,1980,15948,4404,400,12.8,29,10414,78,private,438,142
OH,Xavier University,521,475,1959,1805,24,47,2849,11520,4960,600,13.3,31,9189,83,private,449,230
OH,Antioch University,504,516,713,661,25,44,712,15476,3336,400,11.3,35,42926,48,private,316,162
OK,Oklahoma Christian University,480,440,776,765,22,44,1419,6400,3150,500,16.2,8,6578,45,private,385,77
OK,Oklahoma State University,540,477,4522,3913,29,57,12830,1889,3344,800,15.3,14,6433,48,public,449,794
OK,Phillips University,465,423,692,576,19,50,597,10500,3860,600,11.6,19,8990,39,private,317,42
OR,George Fox College,497,463,809,726,27,52,1271,12500,4130,400,13.5,22,7136,52,private,355,77
OR,Linfield College,556,495,1561,1188,48,72,1548,13380,4210,500,17.8,34,8747,81,private,397,129
OR,Pacific University,542,479,943,849,41,71,1041,14210,3994,450,10.9,22,11216,42,private,370,108
OR,Reed College,632,603,1966,1436,47,80,1199,19960,5490,500,11.8,37,15886,68,private,495,98
OR,University of Portland,527,474,1758,1485,27,58,2041,12040,4100,600,13.2,17,9060,72,private,436,135
OR,Willamette University,575,525,1658,1327,49,80,1595,14800,4620,400,13.3,37,10779,68,private,478,145
PA,Albright College,537,486,1038,839,30,63,973,15595,4400,300,11.3,23,11644,80,private,430,79
PA,Beaver College,505,460,1163,850,23,56,878,12850,5400,400,12.2,30,8954,73,private,381,68
PA,Bryn Mawr College,630,630,1465,810,71,95,1088,18165,6750,500,12.3,49,17449,89,private,511,129
PA,Cabrini College,434,419,599,494,8,28,1035,10518,6250,300,16.5,36,7117,71,private,398,41
PA,Carnegie Mellon University,679,555,8728,5201,60,89,4265,17900,5690,450,9.2,31,24386,74,private,678,523
PA,Chatham College,481,491,212,197,28,56,471,13500,5230,400,9.3,37,16095,52,private,394,43
PA,Chestnut Hill College,483,495,342,254,25,64,518,10335,5015,700,8.3,29,7729,73,private,311,37
PA,Eastern College,479,452,458,369,16,42,1057,11190,4800,450,13.6,22,8135,54,private,363,57
PA,Elizabethtown College,546,492,2417,1843,36,70,1476,14190,4400,500,12.8,25,9815,81,private,448,105
PA,Gannon University,518,464,2464,1908,24,57,2693,10970,4280,500,13.3,18,7711,65,private,365,182
PA,Geneva College,502,460,668,534,19,39,1306,9476,4820,500,20.1,26,6786,74,private,366,50
PA,Immaculata College,420,430,268,253,16,44,494,10000,5364,500,11.2,33,7305,69,private,385,28
PA,Juniata College,558,509,1005,859,36,55,1075,14850,4460,450,12.7,37,12067,80,private,419,74
PA,King's College,504,455,1456,1053,20,45,500,10910,5160,400,15.6,37,7649,87,private,409,95
PA,La Salle University,540,507,2929,1834,20,56,2738,12600,5610,450,15.1,9,9084,84,private,470,209
PA,Lebanon Valley College,521,467,1386,1060,28,56,965,13850,4755,400,12.3,30,8196,85,private,419,67
PA,Lincoln University,399,375,1660,1091,15,41,1196,3020,3400,350,12.6,8,10912,45,public,393,87
PA,Marywood College,470,449,1107,859,13,51,1452,11040,4500,600,11.8,30,9034,66,private,412,121
PA,Messiah College,555,509,1742,1382,30,64,2258,10300,5080,475,14.1,30,7762,89,private,393,131
PA,Bloomsburg Univ. of Pennsylvania,524,465,6773,3028,15,55,5847,3086,2948,500,18,19,7041,75,public,528,348
PA,Lock Haven University of Pennsyl,510,460,3570,2215,17,41,3390,2954,3620,225,16.1,14,6374,63,public,508,197
PA,Millersville University of Penn.,536,479,6011,3075,22,60,5146,3086,3830,450,16.8,20,7832,71,public,549,320
PA,Shippensburg University of Penn.,529,468,5818,3281,14,53,5268,3086,3504,450,18.8,13,6719,72,public,573,301
PA,West Chester University of Penn.,495,450,6502,3539,11,51,7484,3086,4108,400,15.3,16,6773,52,public,533,483
PA,Philadelphia Coll. of Textiles a,490,440,1538,1259,19,42,1664,11690,5062,600,12.9,15,8028,68,private,417,85
PA,Point Park College,424,418,875,744,7,38,1173,9700,4830,400,14.5,10,7652,66,private,357,73
PA,Saint Joseph's University,545,498,2519,2003,39,71,2473,12750,6350,350,17.4,13,8243,83,private,487,154
PA,Swarthmore College,672,630,3203,1255,81,97,1387,19124,6584,772,8.8,58,23975,95,private,562,163
PA,Thiel College,444,418,1154,951,15,31,791,11172,4958,700,11.6,16,9186,60,private,369,58
PA,University of Pennsylvania,680,594,12394,5232,85,100,9205,17020,7270,500,6.3,38,25765,93,private,744,993
PA,University of Pittsburgh-Main Ca,537,480,8586,6383,25,59,13138,4962,4560,400,7.8,10,13789,66,public,547,1325
PA,University of Scranton,561,509,4471,2942,29,60,3674,11584,5986,650,14.1,41,9131,92,private,475,242
PA,Ursinus College,567,512,1399,1026,44,77,1131,14900,5160,500,11.6,40,12082,79,private,434,91
PA,Villanova University,599,528,7759,5588,30,68,6362,15925,6507,400,13.4,24,10458,96,private,536,503
PA,Westminster College,530,470,996,866,29,58,1411,12065,3615,430,12.5,41,8596,80,private,423,93
PA,Wilson College,470,460,167,130,16,50,199,11428,5084,450,8.3,43,10291,67,private,294,32
PA,York College of Pennsylvania,517,469,2989,1855,28,63,2988,4990,3560,500,18.1,28,4509,99,private,464,113
PA,Allentown Coll. of St. Francis d,515,470,1179,780,38,64,1130,9690,4785,600,13.3,21,7940,74,private,365,68
PA,La Roche College,408,380,361,321,10,41,650,8842,4782,600,14.2,14,7022,52,private,351,44
PA,Pennsylvania State Univ. Main Ca,583,500,19315,10344,48,93,28938,4966,4060,512,18.1,19,8992,63,public,522,1799
RI,Brown University,680,620,12586,3239,87,95,5643,19528,5926,720,7.6,39,20440,97,private,625,514
RI,Providence College,537,485,5139,3346,20,55,3717,14400,6200,450,18.4,35,8135,96,private,489,219
RI,Rhode Island School of Design,551,508,1831,842,17,45,1846,16684,6672,1500,10,22,11622,96,private,444,118
RI,University of Rhode Island,515,449,9643,7751,12,40,8894,3004,5558,500,16.6,7,9158,63,public,541,659
RI,Roger Williams University,455,406,3304,2804,10,20,2111,12520,6050,500,16.4,8,7957,61,private,464,104
SC,Central Wesleyan College,429,384,174,146,8,29,1047,8300,3080,600,15.2,18,3365,58,private,264,36
SC,Coker College,469,431,604,452,15,47,690,9888,4502,400,12.1,39,8741,75,private,358,43
SC,Erskine College,532,482,659,557,47,74,532,10485,3840,475,13.5,47,7527,67,private,355,40
SC,Furman University,584,528,2161,1951,56,82,2371,13440,4048,600,13.5,28,12940,82,private,453,185
SC,Lander University,455,406,1166,1009,9,33,2074,3340,2987,528,17,11,6119,51,public,380,114
SC,Newberry College,466,418,872,722,14,36,601,10194,2600,500,11.4,32,5788,83,private,287,46
SC,Presbyterian College,580,520,1082,832,34,63,1133,11859,3635,554,13.4,42,8354,85,private,397,75
SC,University of South Carolina at,480,425,848,560,14,24,1855,2320,3066,500,14.8,3,5035,48,public,374,117
TN,Belmont University,522,490,1220,974,28,67,1964,7800,3664,650,11.1,19,7614,49,private,382,148
TN,Christian Brothers University,530,480,880,520,16,42,1068,9300,3260,600,11.1,24,8129,63,private,345,86
TN,Fisk University,456,425,1078,720,24,36,850,6240,3690,600,12.5,22,6911,43,private,319,65
TN,Freed-Hardeman University,485,458,895,548,20,54,1174,5500,3340,600,16.1,13,6078,62,private,305,69
TN,Maryville College,505,448,1464,888,26,52,624,11200,4208,500,11.1,43,8317,51,private,338,49
TN,Tusculum College,420,370,626,372,12,34,983,7700,3400,450,21.9,28,4933,52,private,314,27
TN,University of Tennessee at Knoxv,525,468,7473,5372,27,53,15749,1830,3262,750,16.5,22,8612,53,public,501,1139
TN,University of the South,601,557,1445,966,46,83,1129,15350,4080,450,10.3,52,18784,82,private,485,99
TN,Vanderbilt University,640,559,7791,4690,71,92,5500,17865,6525,630,5.8,26,23850,83,private,612,657
TX,Angelo State University,509,441,3540,2001,24,54,4190,840,3592,500,23.1,5,4010,34,public,398,180
TX,Austin College,554,498,948,798,42,74,1120,11280,4342,400,13,33,11361,71,private,418,84
TX,Hardin-Simmons University,510,470,467,424,16,40,1365,6300,2980,700,13.7,10,7054,38,private,330,84
TX,Lamar University,459,413,2336,1725,10,27,5438,864,3040,508,18.4,12,5879,26,public,361,343
TX,LeTourneau University,552,491,477,417,29,54,1532,8840,4240,600,20.8,23,6863,56,private,349,50
TX,University of North Texas,526,467,4418,2737,23,51,14047,672,3579,450,22.6,6,5657,35,public,448,751
TX,Our Lady of the Lake University,434,407,2308,1336,22,46,1202,8530,3644,616,14.9,25,7114,37,private,379,101
TX,Schreiner College,470,420,584,413,19,51,521,8955,5900,500,11.8,23,8545,52,private,282,40
TX,St. Mary's University of San Ant,516,454,1243,1020,33,60,2149,8678,3858,700,16.2,7,7651,72,private,502,169
TX,Prairie View A. and M. Universit,377,332,2405,2234,10,22,4564,840,3500,598,19.4,1,5967,35,public,369,232
TX,Texas Lutheran College,498,436,497,423,27,57,895,7850,3410,490,13.8,24,7002,50,private,365,61
TX,Texas Wesleyan University,426,415,592,501,19,44,1204,6400,3484,600,14.5,10,7936,43,private,439,96
TX,Trinity University,635,575,2425,1818,62,93,2110,12240,5150,500,9.6,20,14703,93,private,548,216
TX,University of Dallas,593,550,681,588,44,74,1058,10760,6230,500,13.4,26,8731,63,private,395,108
TX,University of Texas at Austin,603,523,14752,9572,48,85,30017,840,3309,650,19.7,11,7837,65,public,577,2099
TX,University of Texas at San Anton,484,423,4217,3100,17,46,9375,672,5376,452,25.3,3,4329,50,public,429,314
TX,Texas A&M Univ. at College Stati,578,491,14474,10519,49,85,31643,840,3412,600,23.1,29,8471,69,public,505,1546
UT,University of Utah,543,484,5095,4491,27,53,13894,1954,3975,858,12.8,9,9275,37,public,498,860
VA,Averett College,469,424,627,556,16,40,777,9925,4135,750,22.4,11,6523,48,private,328,48
VA,College of William and Mary,640,600,7117,3106,68,88,5186,2808,4298,600,12.1,31,9534,93,public,525,470
VA,Christopher Newport University,442,404,883,766,3,37,2910,2332,4750,525,21.2,16,4639,48,public,412,166
VA,Emory & Henry College,485,445,765,646,30,60,809,8578,4408,700,13.9,51,8061,82,private,363,54
VA,Hampden - Sydney College,564,517,817,644,20,40,945,13218,4773,660,13.3,53,12263,69,private,417,80
VA,Hampton University,475,442,7178,3755,25,63,4623,7161,3518,600,14,9,6791,70,private,359,297
VA,Hollins College,502,505,602,498,26,58,795,13470,5515,500,11.1,48,13957,72,private,388,71
VA,Longwood College,497,455,2747,1870,12,47,2874,2606,3962,550,18.4,23,5553,62,public,393,150
VA,Randolph-Macon College,533,483,1771,1325,21,46,1071,13840,3735,400,10.7,38,11080,74,private,399,79
VA,Randolph-Macon Woman's College,517,502,696,616,35,66,653,13970,6110,370,9.2,24,16358,68,private,409,65
VA,Virginia Commonwealth University,488,449,4963,3497,18,45,10262,3034,4182,500,8.7,11,11183,45,public,491,784
VA,Sweet Briar College,510,500,462,402,36,68,527,14500,6000,500,6.5,48,18953,61,private,468,65
VA,Virginia Military Institute,541,484,904,683,16,34,1191,2980,3800,600,11.1,51,10709,68,public,467,94
VA,Virginia Union University,343,317,1847,1610,19,59,1298,7384,3494,500,13.7,8,6757,30,private,283,78
VA,Christendom College,568,568,81,72,33,71,139,8730,3600,400,9.3,17,10922,58,private,320,13
VT,Castleton State College,459,416,1257,940,9,22,1547,3660,4690,400,14.7,8,6318,79,public,355,90
VT,Green Mountain College,440,440,780,628,7,20,545,11750,2700,400,14,24,6475,76,private,342,35
VT,Johnson State College,436,412,833,669,3,13,1224,3312,4690,500,14.4,15,6564,36,public,342,66
VT,Saint Michael's College,524,479,1910,1380,16,64,1715,13030,5860,500,14.5,34,10190,84,private,404,122
VT,Trinity College,420,410,222,185,16,41,484,11010,5208,550,10.4,26,9586,78,private,325,40
VT,University of Vermont,553,488,7663,6008,18,51,7353,6210,4928,500,9.9,10,12646,79,public,458,555
WA,Gonzaga University,539,492,1886,1524,31,67,2523,13000,4450,600,14.7,32,9553,69,private,420,251
WA,Seattle Pacific University,498,455,1183,1016,42,82,1922,12669,4875,600,16.8,20,10368,66,private,390,144
WA,Seattle University,525,464,2115,1540,28,72,2993,12825,4375,500,12.2,16,10175,89,private,458,237
WA,St. Martin's College,480,460,191,165,5,25,494,11550,4270,300,14.5,8,9209,40,private,325,50
WA,University of Puget Sound,581,520,4044,2826,51,83,2738,16230,4500,630,15,17,11217,63,private,516,175
WA,Whitman College,600,550,1861,998,45,77,1220,16670,4900,750,10.5,51,13198,72,private,476,93
WA,Whitworth College,544,490,1121,926,43,70,1270,12660,4500,678,16.9,20,8328,80,private,345,93
WA,Evergreen State College,521,521,1801,1101,14,50,3065,1785,4600,600,18.1,14,8355,68,public,430,154
WI,Beloit College,575,549,1320,923,26,54,1085,16304,3616,355,11.1,26,12957,69,private,453,80
WI,Marquette University,561,492,5152,4600,36,71,7016,11610,4760,600,13.5,25,9982,77,private,527,483
WI,Ripon College,557,513,587,501,28,52,735,15200,4100,350,9.4,49,12472,64,private,409,69
WI,St. Norbert College,614,553,1334,1243,30,56,1946,12140,4450,425,15.1,36,8595,88,private,415,109
WI,Univ. of Wisconsin at Eau Claire,525,460,5729,4520,20,52,8516,2208,2705,279,19.3,28,6139,61,public,428,417
WV,Alderson-Broaddus College,443,394,582,498,21,44,799,10468,3380,660,11.5,15,8991,52,private,299,63
WV,Bethany College,479,448,664,515,12,44,712,15700,5750,400,13,24,10941,59,private,340,50
WV,Marshall University,465,450,4226,3666,14,60,7703,1660,4010,700,16.6,10,6203,50,public,390,397
WV,University of Charleston,505,443,682,535,22,43,771,9500,3540,400,2.5,10,7683,57,private,333,67
